Postal_Code,Name,Median_Household_Income
IN,Fayette County,"40,122"
IN,Floyd County,"53,186"
IN,Fountain County,"45,168"
IN,Franklin County,"54,086"
IN,Fulton County,"44,762"
IN,Gibson County,"46,466"
IN,Grant County,"40,234"
IN,Greene County,"41,077"
IN,Hamilton County,"89,861"
IN,Hancock County,"68,334"
IN,Harrison County,"56,787"
IN,Hendricks County,"70,358"
IN,Henry County,"41,955"
IN,Howard County,"47,433"
IN,Huntington County,"49,832"
IN,Jackson County,"48,368"
IN,Jasper County,"55,190"
IN,Jay County,"38,663"
IN,Jefferson County,"45,964"
IN,Jennings County,"43,783"
IN,Johnson County,"58,833"
IN,Knox County,"44,077"
IN,Kosciusko County,"54,068"
IN,Lagrange County,"52,003"
IN,Lake County,"50,774"
IN,La Porte County,"46,243"
IN,Lawrence County,"45,232"
IN,Madison County,"44,730"
IN,Marion County,"42,700"
IN,Marshall County,"52,508"
IN,Martin County,"48,381"
IN,Miami County,"41,065"
IN,Monroe County,"43,841"
IN,Montgomery County,"46,945"
IN,Morgan County,"54,849"
IN,Newton County,"51,285"
IN,Noble County,"50,997"
IN,Ohio County,"51,403"
IN,Orange County,"39,572"
IN,Owen County,"46,001"
IN,Parke County,"42,056"
IN,Perry County,"44,623"
IN,Pike County,"47,217"
IN,Porter County,"63,030"
IN,Posey County,"59,975"
IN,Pulaski County,"43,770"
IN,Putnam County,"49,467"
IN,Randolph County,"41,577"
IN,Ripley County,"52,491"
IN,Rush County,"47,418"
IN,St. Joseph County,"46,388"
IN,Scott County,"41,649"
IN,Shelby County,"54,831"
IN,Spencer County,"54,468"
IN,Starke County,"43,740"
IN,Steuben County,"50,078"
IN,Sullivan County,"43,933"
IN,Switzerland County,"47,606"
IN,Tippecanoe County,"46,276"
IN,Tipton County,"55,008"
IN,Union County,"47,410"
IN,Vanderburgh County,"42,622"
IN,Vermillion County,"44,388"
IN,Vigo County,"41,260"
IN,Wabash County,"45,151"
IN,Warren County,"55,925"
